LLAVEHOG,ORDEN,AÑOS_CUMPLIDOS,HIJOS,CANT_PERSONAS,VIVE_PADRES,NIVEL_EDUCACION_MADRE,AFILIADO_SS,ESTADO_SALUD,DISCAPACIDAD,LEER_ESCRIBIR,NIVEL_EDUCATIVO,SALARIO,ACTIVIDAD,TELEFONO,TIPO_VIVIENDA,SUBSIDIO,SEGURIDAD,CONDICIONES_VIDA,POBRE,INGRESO_HOGAR,COMIDA,AGUA_ALIMENTOS,AGUA24H,VIVIENDA,SATISFACCCION_INGRESO,SATISFACCION_SALUD,SATISFACCION_SEGURIDAD,SATISFACCION_TRABAJO,SATISFACCION_VIDA
60027961,3,34,1,4,3,,1,2,NO,1,,,1,1,1,NO,1,2,2,2,2,1,1,1,7,8,5,5,6
60028321,6,17,1,7,2,,1,2,NO,1,,,4,1,1,NO,1,3,2,1,2,1,1,3,9,10,7,1,8
60028601,2,32,2,4,2,,1,2,NO,1,,,4,1,1,NO,1,2,2,2,2,1,1,1,4,8,5,7,10
60029281,2,35,1,5,2,,2,2,NO,1,,737717,1,1,1,NO,1,1,2,2,2,10,,1,10,10,10,10,10
60029431,1,40,1,2,4,1,1,1,NO,1,,,1,1,1,NO,1,3,2,1,2,1,2,5,4,10,8,4,8
60029481,2,33,4,8,2,,1,2,NO,1,,,4,2,1,SI,1,4,1,1,1,1,2,5,10,7,7,0,4
60029721,3,37,1,5,2,,1,1,NO,1,,1000000,1,1,1,NO,1,1,2,3,2,1,1,1,8,8,8,10,9
60029811,3,28,1,4,4,10,1,2,NO,1,,400000,1,1,2,NO,1,2,2,2,2,1,1,1,3,9,8,6,10
60029881,1,43,2,4,2,,1,2,NO,1,,737717,1,1,1,NO,1,2,2,2,2,1,1,1,5,8,8,9,10
60029901,2,53,1,6,2,,1,1,NO,1,,,4,1,1,SI,1,2,2,2,2,1,1,1,10,10,9,10,10
60030091,4,46,1,7,3,,1,3,NO,1,,,1,1,1,SI,1,2,1,2,2,1,1,1,7,7,8,6,8
60030121,1,30,1,2,4,1,1,2,NO,1,,737717,1,1,2,NO,2,2,1,2,2,6,,3,4,7,5,10,9
60030321,2,21,1,3,2,,1,2,NO,1,,,4,1,2,SI,1,2,2,2,2,1,2,3,10,10,10,10,10
60030461,3,17,1,4,2,,1,2,NO,1,,,4,1,2,NO,1,2,2,1,2,1,1,1,9,10,10,0,10
60030481,5,28,1,6,3,,1,3,NO,1,,737000,1,1,1,SI,1,2,1,1,2,1,1,1,10,10,10,10,10
60031411,1,51,2,8,4,2,1,2,NO,1,,750000,1,1,1,NO,1,1,2,1,2,3,,3,7,10,8,10,10
60032113,1,56,1,2,4,2,1,2,NO,1,,710000,1,1,2,NO,2,2,2,1,2,1,1,4,7,7,4,9,10
60032161,2,24,1,4,2,,1,1,NO,1,,,3,1,1,SI,2,2,2,2,2,1,2,4,6,9,6,9,10
60032331,4,15,1,5,3,,1,2,NO,1,,,4,2,1,NO,1,2,2,2,2,1,2,3,7,7,7,7,7
60032491,2,31,1,5,2,,1,2,NO,1,,737700,1,1,1,SI,1,2,2,2,2,1,1,1,5,10,10,10,10
60032491,4,27,1,5,2,,1,2,NO,1,,,1,1,1,SI,1,2,2,2,2,1,1,1,8,8,6,8,10
60032831,3,17,1,5,2,,1,2,NO,1,,,3,1,1,SI,2,3,1,2,2,1,2,1,8,8,3,7,5
60033221,1,60,2,6,4,9,1,3,NO,1,,,4,1,1,NO,1,3,2,1,2,1,2,1,9,10,7,8,8
60033221,3,37,1,6,2,,1,2,NO,1,,800000,1,1,1,NO,1,3,2,1,2,1,2,1,8,9,8,8,7
60033731,2,33,3,5,2,,1,1,NO,1,,1000000,1,1,1,NO,1,1,2,2,2,1,1,4,7,10,4,10,10
60034401,3,26,1,4,3,,1,2,NO,1,,,1,1,1,SI,1,2,1,1,2,1,2,1,9,10,10,10,10
60034551,4,22,1,5,2,,1,1,NO,1,,,3,1,1,SI,2,3,1,1,1,1,2,1,2,9,2,10,10
60034751,1,44,1,3,2,,1,2,NO,1,,737717,1,1,1,NO,1,2,2,1,2,1,2,1,8,10,10,10,10
60034751,3,82,1,3,4,9,2,2,NO,1,,,4,1,1,NO,1,2,2,1,2,1,2,1,9,9,10,10,10
60035141,1,38,2,3,4,3,1,2,NO,1,,,1,1,2,SI,1,2,2,2,2,1,1,1,8,8,9,8,10
60035361,3,25,1,4,2,,1,2,NO,1,,,1,1,1,NO,2,3,2,1,2,1,1,3,8,9,2,9,10
60035451,4,19,1,6,3,,1,2,NO,1,,,2,1,1,NO,2,2,2,1,2,1,1,1,9,8,2,9,9
60035721,13,26,2,15,4,1,1,2,NO,1,,,4,2,1,NO,1,2,1,1,2,1,2,1,9,8,9,9,9
60035821,2,34,1,4,2,,1,2,NO,1,,,1,1,1,NO,1,1,2,1,2,1,2,1,9,9,9,9,9
60035991,1,50,1,8,4,1,1,2,NO,1,,,1,2,1,NO,1,2,1,1,2,1,2,1,8,9,8,7,8
60036152,1,64,1,3,4,1,1,2,NO,1,,,1,1,1,SI,1,2,1,1,2,1,2,1,5,6,5,6,6
60036501,1,30,1,2,4,1,1,2,NO,1,,,1,1,1,SI,1,2,1,1,2,1,2,1,7,6,6,5,7
60036641,1,75,2,3,4,1,1,2,NO,1,,,4,2,1,NO,1,2,1,1,2,1,1,1,9,10,8,9,8
60036731,9,63,2,10,4,1,1,2,NO,1,,,4,2,1,NO,1,2,1,1,2,1,1,1,6,9,7,7,6
60036851,1,58,3,8,4,1,1,2,NO,1,,,1,2,1,SI,1,2,1,1,2,4,,1,7,8,6,9,10
60036861,1,53,1,4,4,1,1,2,NO,1,,,1,2,1,NO,1,2,1,1,2,1,1,1,8,7,7,7,8
60037121,1,37,2,4,4,4,1,1,NO,1,,1200000,1,1,2,NO,1,1,2,1,2,1,1,3,10,10,10,10,10
60039391,8,21,1,9,2,,1,2,NO,1,,,3,1,1,SI,2,3,1,1,2,2,2,1,10,10,10,10,10
60039941,3,46,1,4,3,,1,2,NO,1,,1400000,1,1,1,NO,1,2,2,2,2,10,,1,8,8,8,8,8
60040111,1,32,1,2,4,7,1,1,NO,1,,3000000,1,1,2,NO,1,1,2,3,2,10,,3,8,6,8,6,6
60040281,1,38,2,3,4,4,1,1,NO,1,,3000000,1,1,1,NO,1,1,2,3,2,10,,6,8,7,8,6,6
60040291,3,33,1,4,3,,1,2,NO,1,,,1,1,1,NO,1,1,2,3,2,1,1,1,8,8,8,8,8
60040721,1,47,1,2,4,2,1,3,NO,1,,5100000,1,1,2,NO,2,2,2,2,2,1,1,1,6,6,3,9,7
60040991,2,48,3,5,2,,1,2,NO,1,,,1,1,1,NO,1,2,2,2,2,1,1,4,7,10,7,6,7
60041261,1,37,1,2,4,4,1,1,NO,1,,1150000,1,1,1,NO,1,2,2,2,2,1,1,4,5,10,8,8,10
60041671,1,57,1,3,4,10,1,3,NO,1,,,4,1,2,NO,1,3,1,2,2,3,,1,10,5,10,10,10
60041931,4,38,1,5,3,,1,2,NO,1,,,4,1,1,NO,2,2,2,2,2,1,1,1,9,10,7,7,10
60042051,3,30,4,7,3,,1,3,NO,1,,100000,2,1,1,NO,1,2,2,2,2,1,1,3,1,8,2,0,5
60042061,1,56,1,3,4,10,1,2,NO,1,,500000,4,1,1,NO,1,2,2,2,2,1,1,2,9,9,9,8,8
60042111,1,73,1,3,4,9,1,3,NO,1,,,4,1,1,SI,1,2,1,1,2,4,,1,9,3,6,2,8
60042221,1,59,1,2,4,2,1,2,NO,1,,,2,1,1,NO,1,2,2,2,2,1,1,3,9,10,10,0,7
60042441,1,35,3,4,4,3,1,2,NO,1,,,1,1,1,NO,2,2,2,2,2,1,1,3,6,8,5,8,10
60042501,1,70,1,5,4,1,1,3,NO,1,,,4,1,1,NO,1,3,1,2,2,1,1,3,5,2,8,0,10
60042501,3,59,1,5,4,1,1,2,NO,1,,,4,2,1,NO,1,3,1,2,2,1,1,3,9,5,5,0,10
60042691,3,27,1,4,3,,1,3,NO,1,,,1,1,2,NO,1,2,2,1,1,1,1,3,9,9,9,9,10
60042771,1,35,1,2,4,1,1,3,NO,1,,450000,1,1,1,NO,1,3,1,1,2,1,1,4,0,5,5,3,7
60042951,3,20,1,4,2,,1,2,NO,1,,,4,2,1,NO,1,2,1,2,2,2,1,1,8,9,8,5,9
60044001,2,23,1,3,2,,1,1,NO,1,,900000,1,1,2,NO,1,2,1,1,2,1,2,1,7,10,10,10,10
60044031,1,36,2,3,4,2,1,2,NO,1,,,2,1,1,SI,1,2,2,1,2,1,2,3,4,5,5,5,6
60044241,4,24,1,5,3,,1,2,NO,1,,,2,1,2,NO,1,2,2,1,2,1,1,1,9,8,7,1,10
60044411,1,40,3,4,4,2,1,2,NO,1,,,1,1,2,NO,1,2,2,2,2,1,1,3,7,7,6,7,10
60044931,1,59,1,3,4,10,1,2,NO,1,,,4,1,1,SI,1,2,1,2,2,1,2,4,5,9,8,7,9
60044951,4,66,1,4,4,10,1,3,NO,2,,,4,2,1,SI,2,2,1,2,2,1,2,1,8,8,9,6,9
60045011,1,33,1,3,2,,1,2,NO,1,,,1,1,1,SI,1,3,1,1,2,1,2,1,8,8,8,8,9
60045011,3,67,1,3,4,1,1,2,NO,1,,,4,1,1,SI,1,3,1,1,2,1,2,1,7,8,9,8,8
60045061,3,53,1,3,4,1,1,3,SI,1,,,5,2,1,NO,1,2,1,2,2,1,2,1,8,5,7,8,8
60045071,2,83,1,2,4,9,1,4,SI,1,,,5,2,1,SI,1,2,2,1,1,1,2,1,3,3,9,1,7
60045091,1,45,2,6,4,2,1,2,NO,1,,,4,1,1,SI,1,2,2,2,2,1,2,1,7,8,7,8,8
60045241,1,50,2,4,4,1,1,2,NO,1,,,1,1,1,SI,1,2,1,1,2,1,1,4,6,8,8,7,10
60045561,1,43,1,4,4,2,1,2,NO,1,,,1,1,1,SI,1,2,1,2,2,1,1,2,10,10,10,10,10
60045561,2,21,1,4,2,,1,2,NO,1,,,1,1,1,SI,1,2,1,2,2,1,1,2,10,10,10,10,10
60045921,2,22,1,3,2,,1,2,NO,1,,160000,1,1,2,SI,1,2,2,2,2,1,1,4,8,7,8,5,6
60046681,1,59,1,2,4,10,1,3,NO,1,,,4,1,1,NO,2,2,2,1,2,1,1,1,8,8,7,7,10
60046701,2,44,3,4,4,1,1,1,NO,1,,,4,1,1,SI,1,1,2,3,2,1,1,1,10,10,5,7,10
60046791,1,24,1,2,4,2,1,1,NO,1,,,1,1,2,NO,2,2,2,2,2,1,1,3,7,10,9,8,9
60046901,1,44,1,3,4,10,1,1,NO,1,,,4,1,2,NO,1,2,2,2,2,1,1,1,7,10,6,10,10
60046991,3,37,2,5,2,,1,2,NO,1,,737000,1,1,1,SI,1,2,2,2,2,1,1,4,8,7,10,8,10
60047031,2,30,2,5,2,,1,2,NO,1,,,2,2,1,SI,1,3,1,1,2,1,1,1,9,9,9,9,9
60047131,2,35,1,3,2,,1,2,NO,1,,,1,1,1,SI,1,2,2,2,2,1,1,1,7,9,10,6,8
60047221,2,23,1,3,2,,1,3,NO,1,,737317,1,1,2,NO,2,3,1,2,1,1,1,3,0,10,0,10,10
60047301,2,22,1,4,1,2,1,2,NO,1,,,2,1,2,NO,1,2,1,1,1,1,1,3,9,10,5,10,8
60047891,1,26,1,2,4,1,1,1,NO,1,,,4,1,1,NO,1,2,2,2,2,2,2,4,6,9,9,8,10
60048221,3,33,1,4,3,,1,2,NO,1,,2200000,1,1,2,NO,1,2,1,2,2,1,1,1,8,8,5,9,10
60048271,2,55,1,2,4,2,1,2,NO,1,,,4,1,1,NO,1,2,2,2,2,1,1,6,10,10,10,10,10
60048351,4,20,1,5,3,,1,3,NO,1,,,4,1,1,NO,1,3,2,2,2,1,1,2,8,7,10,8,9
60048641,2,53,1,4,1,1,1,3,NO,1,,,4,1,1,NO,1,3,2,2,2,1,1,1,9,5,7,7,8
60049461,5,46,2,7,4,4,1,2,NO,1,,1200000,1,1,1,NO,1,2,2,2,2,1,2,1,6,7,7,7,8
60049541,7,17,1,8,2,,1,2,NO,1,,,4,2,1,NO,1,2,1,1,2,1,2,3,9,10,10,10,10
60049561,6,21,1,7,3,,1,2,NO,1,,,4,2,1,SI,1,3,2,1,2,1,2,1,9,8,8,8,9
60049781,1,25,1,2,4,8,1,2,NO,1,,800000,1,1,2,NO,1,2,2,1,2,1,1,3,5,7,9,7,9
60050021,1,56,1,2,4,3,1,3,NO,1,,,1,1,2,NO,2,2,2,2,2,1,1,1,7,5,2,7,10
60050081,1,22,1,5,2,,1,2,NO,1,,900000,4,1,2,SI,1,2,2,2,2,1,2,2,7,9,7,9,10
60050211,1,24,2,5,4,1,1,3,NO,1,,70000,1,1,1,SI,1,3,2,2,2,1,2,1,4,8,8,4,9
60050211,4,24,1,5,4,1,1,2,NO,1,,,1,1,1,SI,1,3,2,2,2,1,2,1,5,8,7,6,8
60050341,2,21,1,3,4,3,1,3,NO,1,,,6,1,1,SI,1,2,2,2,2,1,1,4,3,8,8,4,6
60050381,1,53,2,6,2,,1,4,NO,1,,,1,1,1,SI,1,3,1,1,2,1,1,1,4,4,6,6,8
60050381,3,32,2,6,2,,1,3,NO,1,,,4,1,1,SI,1,3,1,1,2,1,1,1,3,7,5,3,6
60050381,6,77,1,6,4,9,1,3,NO,1,,,5,2,1,SI,1,3,1,1,2,1,1,1,3,3,5,3,5
60050481,3,31,1,4,4,1,1,2,NO,1,,,4,1,1,SI,2,2,1,1,2,1,1,2,5,9,8,8,10
60050501,3,31,2,6,3,,1,2,NO,1,,,1,1,1,SI,1,3,1,2,2,1,1,1,3,5,9,0,10
60050531,3,33,2,5,3,,1,2,NO,1,,,1,1,1,SI,1,3,2,2,2,2,1,1,5,9,9,5,8
60050671,1,47,1,2,4,1,1,3,NO,2,,,4,1,1,NO,1,2,1,1,2,2,2,1,0,0,10,0,6
60050921,1,26,1,2,4,2,1,2,NO,1,,1100000,1,1,3,SI,1,2,1,2,2,2,1,4,5,6,4,5,8
60051021,1,31,1,2,4,1,1,2,NO,1,,,1,1,2,NO,1,2,1,2,2,1,1,3,4,8,10,5,10
60051071,1,25,1,3,1,1,1,2,NO,1,,,1,1,1,SI,1,2,2,1,2,1,1,1,7,10,8,10,10
60051111,1,27,1,2,4,4,1,3,NO,1,,,1,1,2,SI,1,3,1,1,2,2,2,4,7,5,8,5,8
60051371,1,35,1,2,4,1,1,2,NO,1,,,4,1,2,SI,1,2,1,1,2,2,1,4,4,6,8,6,6
60051391,4,57,2,6,4,2,1,2,NO,1,,1500000,1,1,1,NO,2,2,2,2,2,1,1,3,5,8,4,7,9
60051441,4,24,2,6,3,,1,2,NO,1,,,3,1,1,NO,1,2,2,2,2,1,1,3,9,10,10,3,6
60051581,5,20,2,7,2,,1,2,NO,1,,,4,1,1,NO,1,2,2,1,2,1,1,3,8,10,10,10,10
60051631,1,49,2,6,4,2,1,3,NO,1,,500000,1,1,1,NO,2,3,2,2,2,1,1,1,6,3,2,8,10
60051631,5,19,1,6,2,,1,3,NO,1,,,4,1,1,NO,2,3,2,2,2,1,1,1,2,5,7,9,10
60051671,4,28,1,5,3,,1,2,NO,1,,400000,1,1,1,SI,1,3,1,1,2,1,2,1,4,4,7,5,8
60051711,3,39,1,4,3,,1,2,NO,1,,,4,1,1,SI,1,3,1,2,2,1,2,1,5,8,6,6,9
60051921,2,42,1,4,2,,1,4,NO,1,,,4,1,1,NO,2,3,2,1,2,1,1,4,0,2,9,2,5
60051961,4,19,2,6,4,2,1,2,NO,1,,,4,1,2,NO,1,2,2,3,2,1,1,3,10,10,10,10,10
60051971,4,30,2,6,2,,1,3,NO,1,,,6,1,1,SI,1,3,2,1,2,1,1,1,4,5,10,5,7
60051981,2,57,1,6,2,,1,2,NO,1,,,4,1,1,NO,1,2,2,1,2,1,1,1,4,9,9,5,9
60052131,1,39,1,2,4,10,2,3,NO,1,,,2,1,2,NO,1,3,2,1,2,2,1,6,2,6,10,2,10
60052161,1,27,1,2,4,9,1,1,NO,1,,680000,1,1,1,NO,1,2,2,1,2,2,1,3,10,10,10,10,10
60052381,1,44,1,2,4,2,1,1,NO,1,,,1,1,1,NO,1,1,2,2,2,1,1,1,8,10,10,8,10
60053781,1,69,1,2,4,1,1,2,NO,1,,,4,1,1,NO,1,2,1,1,2,1,2,1,9,10,10,4,9
60053871,1,27,1,2,4,1,1,2,NO,1,,,1,1,1,NO,1,3,2,2,1,1,2,3,5,8,7,8,8
60054051,3,23,1,4,2,,1,1,NO,1,,1100000,1,1,1,NO,1,2,2,2,2,1,1,3,10,10,10,10,10
60054131,2,34,1,3,2,,1,3,NO,1,,,1,1,1,NO,1,2,2,1,2,1,1,3,10,10,9,10,10
60054401,3,19,1,5,1,2,1,1,NO,1,,,4,1,2,NO,1,2,2,3,2,1,1,3,9,8,10,2,9
60054461,1,35,2,3,4,1,1,1,NO,1,,900000,1,1,2,NO,1,1,2,3,2,1,1,1,10,10,10,10,10
60054531,2,37,1,3,1,1,1,2,NO,1,,200000,4,1,2,NO,1,3,2,2,2,1,1,1,5,8,10,7,8
60054621,1,29,1,2,4,2,1,2,NO,1,,737717,1,1,2,NO,1,2,2,2,1,1,1,3,0,5,8,5,8
60054771,1,45,1,4,4,1,1,2,NO,1,,,1,1,2,NO,1,2,2,2,2,1,1,3,9,9,9,9,9
60054771,3,29,1,4,4,1,1,2,NO,1,,500000,1,1,2,NO,1,2,2,2,2,1,1,3,9,9,9,9,9
60054871,1,19,1,2,4,1,1,2,NO,1,,,4,1,1,NO,1,2,2,2,2,1,2,4,7,9,9,7,9
60054961,1,33,1,2,4,2,1,2,NO,1,,1000000,1,1,2,NO,1,2,2,2,2,1,2,3,5,10,8,10,10
60055011,1,39,2,3,4,1,1,2,NO,1,,,1,2,1,SI,1,3,1,2,2,1,2,1,9,9,9,8,10
60055061,1,32,2,3,4,1,2,2,NO,1,,,1,1,1,NO,1,2,2,2,2,6,,1,7,10,10,7,10
60055121,3,24,1,4,3,,1,2,NO,1,,,1,2,1,NO,1,2,1,2,2,1,2,1,8,9,9,9,9
60055372,1,34,1,2,4,10,1,1,NO,1,,300000,1,1,1,NO,1,3,2,1,2,1,2,3,6,7,6,3,8
60055451,1,34,1,2,4,2,1,3,NO,1,,300000,1,1,1,NO,1,3,2,2,2,1,2,4,6,7,3,6,7
60055481,2,55,2,5,1,9,1,2,NO,1,,,4,2,1,SI,1,3,1,2,1,1,1,1,9,8,7,8,9
60055571,4,28,1,5,3,,1,1,NO,1,,300000,1,1,1,NO,1,2,2,2,2,1,1,1,8,8,7,8,9
60055591,3,37,1,4,2,,1,3,NO,1,,,1,1,1,NO,1,2,2,1,2,1,1,1,7,5,8,8,10
60055691,1,57,2,4,4,10,1,1,NO,1,,,1,1,1,SI,1,2,2,2,2,1,1,1,10,10,10,10,10
60055691,3,20,1,4,2,,1,2,NO,1,,,3,1,1,SI,1,2,2,2,2,1,1,1,10,10,10,5,10
60055811,2,64,1,7,4,1,1,2,NO,1,,,4,2,1,SI,1,2,1,2,2,1,1,1,9,9,9,9,10
60055831,1,33,1,2,4,10,1,2,NO,1,,350000,1,1,1,SI,2,2,2,2,2,1,1,1,7,10,3,10,10
60055981,2,17,1,3,2,,1,2,NO,1,,120000,4,2,1,NO,1,2,1,2,2,1,1,3,8,9,10,9,10
60056031,1,44,2,3,4,9,1,2,NO,2,,,1,1,1,SI,1,2,1,1,2,1,1,1,0,8,6,3,10
60057101,4,21,1,5,3,,1,2,NO,1,,350000,1,1,1,NO,1,2,2,2,2,1,1,1,4,10,10,4,6
60057901,7,15,1,8,2,,1,2,NO,1,,,4,1,1,NO,1,2,2,3,2,1,1,1,7,10,7,8,8
60058221,2,26,1,3,4,1,1,2,NO,1,,,4,2,2,SI,1,3,1,1,2,2,2,1,5,9,8,4,10
60058431,4,20,1,5,4,9,1,1,NO,1,,200000,1,2,1,SI,1,2,1,1,2,1,2,1,10,10,10,8,10
60058691,1,65,1,5,4,10,1,2,NO,1,,,4,1,1,NO,2,3,2,1,2,1,2,1,10,10,10,10,10
60058861,1,35,1,2,4,2,1,2,NO,1,,,1,1,2,SI,1,2,2,3,2,10,,3,8,8,6,5,7
60059031,1,33,1,2,4,4,1,2,NO,1,,,2,1,2,NO,1,2,2,2,2,10,,3,3,7,8,3,8
60059061,1,44,1,2,4,2,1,2,NO,1,,800000,1,1,2,NO,1,2,1,1,2,10,,3,9,9,9,9,9
60059081,5,22,1,6,3,,1,2,NO,1,,,2,1,3,NO,1,2,2,2,2,10,,3,8,8,8,8,9
60059211,3,33,2,5,2,,1,3,NO,1,,,1,1,1,NO,1,3,1,1,2,1,1,3,4,7,7,8,10
60059241,3,23,1,4,3,,1,2,NO,1,,,4,1,1,NO,1,2,1,2,2,2,1,1,6,8,6,2,6
60059331,2,26,1,3,2,,1,2,NO,1,,,1,1,1,NO,2,3,1,1,2,1,1,3,3,8,3,5,8
60060081,1,26,1,4,2,,1,2,NO,1,,,1,1,2,SI,2,3,1,1,2,1,1,1,7,8,7,8,8
60060131,7,20,1,8,2,,1,2,NO,1,,430000,1,1,1,SI,1,2,2,2,2,2,1,3,8,9,8,8,10
60060151,3,45,1,4,3,,1,2,NO,1,,,1,1,1,NO,1,2,1,1,2,2,2,1,8,8,8,7,8
60060241,5,19,1,7,2,,1,3,NO,1,,,4,2,1,NO,1,3,1,1,2,2,2,3,9,7,7,6,7
60060361,2,64,1,3,2,,1,2,NO,1,,200000,4,2,1,SI,1,2,2,2,2,2,1,1,8,9,10,9,10
60060431,1,90,1,3,4,9,1,3,NO,2,,,4,2,1,SI,1,2,1,2,2,1,1,4,7,7,8,8,8
60060871,1,43,2,4,1,9,1,2,NO,1,,,4,2,1,SI,1,2,1,2,2,2,2,1,10,10,10,10,10
60061111,3,54,1,7,1,1,1,2,NO,1,,3397000,1,1,2,NO,1,2,2,2,2,1,2,1,8,5,9,9,9
60061141,1,26,1,2,4,1,1,3,NO,1,,180000,1,1,3,NO,1,3,1,1,2,1,2,3,2,9,4,5,10
60061251,3,19,1,4,3,,1,2,NO,1,,,4,2,1,SI,1,3,1,1,2,1,1,1,9,10,9,1,8
60061441,2,47,2,4,2,,1,1,NO,1,,,6,1,1,NO,1,1,2,2,2,1,1,1,10,10,7,10,10
60061461,4,36,1,5,3,,1,2,NO,1,,,1,1,1,NO,1,2,1,2,1,1,1,1,6,6,8,7,10
60061641,4,17,1,5,2,,1,2,NO,1,,,4,1,1,NO,2,2,2,2,2,1,1,2,9,10,8,9,10
60062321,1,51,2,4,4,2,1,3,NO,1,,,4,1,1,NO,1,2,2,2,2,1,2,2,9,0,10,10,10
60063331,5,23,1,6,2,,1,2,NO,1,,,4,1,1,SI,1,3,1,1,1,2,1,1,4,8,8,8,8
60063421,1,47,2,3,4,9,1,2,NO,1,,1900000,1,1,1,SI,2,2,2,3,2,1,1,3,10,10,10,10,10
60064321,5,18,1,6,2,,1,2,NO,1,,,2,1,2,NO,1,2,2,2,2,1,1,3,1,8,8,3,7
60064391,1,32,3,4,4,2,1,1,NO,1,,737000,1,2,2,NO,1,2,2,2,2,1,1,3,9,10,8,9,10
60064611,1,52,2,3,4,2,1,2,NO,1,,730000,1,1,2,NO,2,2,2,2,2,1,1,3,7,8,7,8,8
60064731,3,31,1,4,3,,1,3,NO,1,,99,1,1,1,NO,2,2,2,2,2,1,1,2,8,5,7,9,10
60064771,1,38,2,3,4,1,1,2,NO,1,,737200,1,1,1,NO,1,3,2,2,2,1,1,3,6,10,8,10,10
60064781,4,19,1,5,2,,1,2,NO,1,,,4,1,2,NO,2,2,2,1,2,1,1,3,9,10,5,5,8
60064871,7,31,1,8,3,,1,2,NO,1,,737717,1,1,1,SI,1,2,1,2,2,1,1,1,9,9,6,10,9
60065041,1,57,1,3,4,2,1,2,NO,1,,,4,1,2,NO,1,3,2,2,2,1,1,1,6,9,8,7,10
60065041,2,23,1,3,2,,1,1,NO,1,,1600000,1,1,2,NO,1,3,2,2,2,1,1,1,8,9,9,9,10
60065221,1,57,1,2,4,2,1,2,NO,1,,,4,1,1,NO,1,2,1,2,2,1,1,3,1,6,4,0,6
60065291,3,39,1,4,3,,1,2,NO,1,,700000,1,1,2,NO,2,2,2,2,2,1,1,1,10,10,5,10,10
60066071,3,42,1,4,3,,1,3,NO,1,,1200000,1,1,1,SI,1,3,1,2,2,2,2,1,9,6,8,8,8
